ISBN,서명,남성,여성,sep
9780064432108,"The Carrot Seed (Paperback, 60, Anniversary)",0.0,2.0,여성
9780064440738,The Horse in Harry's Room (Paperback),1.0,0.0,남성
9780064442817,"Abigail Takes the Wheel (Paperback, Reprint)",1.0,0.0,남성
9780064452090,The International Space Station (Paperback) - Stage 2,1.0,0.0,남성
9780064452335,Mission to Mars (Paperback) - Let's-Read-And-Find-Out Science: Stage 2,1.0,0.0,남성
9780071456104,"The Treasury Bond Basis: An In-Depth Analysis for Hedgers, Speculators, and Arbitrageurs (Hardcover, 3, Revised)",1.0,0.0,남성
9780099483830,Henry and the Fox (Paperback),0.0,1.0,여성
9780133925852,"Teaching by Principles: An Interactive Approach to Language Pedagogy (Paperback, 4, Revised)",0.0,1.0,여성
9780140567854,Red rockets and rainbow jelly,1.0,0.0,남성
9780141300955,"Sun & Spoon (Paperback, Reprint)",0.0,1.0,여성
9780141325002,Christmas Chaos for the Hundred-mile-an-hour Dog (Paperback),1.0,0.0,남성
9780141371436,Matilda,0.0,1.0,여성
9780141385426,My Brother's Famous Bottom Makes a Splash! (Paperback),1.0,0.0,남성
9780142400449,2095 #5 (Paperback) - Time Warp Trio #05,2.0,0.0,남성
9780142408889,"Encyclopedia Brown, Boy Detective (Paperback)",1.0,0.0,남성
9780142408896,Encyclopedia Brown and the Case of the Secret Pitch (Paperback),1.0,0.0,남성
9780142423417,Drummer Boy (Paperback),0.0,1.0,여성
9780143039433,The Grapes of Wrath (Paperback) - Penguin Classics,1.0,0.0,남성
9780152002466,Mr. Putter & Tabby Pick the Pears (Paperback) - Mr. Putter & Tabby,0.0,1.0,여성
9780152024888,I ain't gonna paint no more! ,2.0,0.0,남성
9780152024949,Piggy Pie Po :3 little stories ,2.0,0.0,남성
9780152046897,The Napping House (Paperback),2.0,0.0,남성
9780152053048,Leaf Man,0.0,1.0,여성
9780152056490,I like it when--,0.0,2.0,여성
9780152064938,Hurry! Hurry! (Paperback) - My Little Library Infant & Toddler 09,1.0,0.0,남성
9780152164065,"Whoever You Are (Paperback, Reprint)",2.0,0.0,남성
9780152336790,Heckedy Peg,2.0,0.0,남성
9780152616861,Piggins (Paperback),1.0,0.0,남성
9780152928513,Tops & bottoms,1.0,0.0,남성
9780192727138,The Fish Who Could Wish (Paperback),0.0,1.0,여성
9780192791467,My Cat Just Sleeps: Board Book (Hardcover),0.0,1.0,여성
9780192793638,"Oxford Reading Tree Read with Biff, Chip, and Kipper: Level 1 Phonics & First Stories: Up You Go and Other Stories (Paperback)",0.0,1.0,여성
9780192793980,"Oxford Reading Tree Read with Biff, Chip, and Kipper: Level 1 Phonics & First Stories: Six in a Bed and Other Stories (Paperback)",0.0,1.0,여성
9780194234139,Give us the money ,1.0,0.0,남성
9780194234146,King Arthur ,1.0,0.0,남성
9780194234207,Drive into danger ,1.0,0.0,남성
9780194234214,(The) fifteenth character ,1.0,0.0,남성
9780194234221,Girl on a motorcycle ,1.0,0.0,남성
9780194234245,Orca ,1.0,0.0,남성
9780194234252,Police TV ,1.0,0.0,남성
9780194234269,Sally's phone ,1.0,0.0,남성
9780194234276,Starman ,1.0,0.0,남성
9780194234344,Red roses ,1.0,0.0,남성
9780194234368,Last chance ,1.0,0.0,남성
9780195367133,The Oxford Companion to Beer (Hardcover),1.0,0.0,남성
9780198393535,"Oxford IB Study Guides: Chemistry  for the IB Diploma (Paperback, 2014 Edition)",1.0,0.0,남성
9780198465737,Lost in the jungle ,2.0,0.0,남성
9780198465744,(The) Lost key ,2.0,0.0,남성
9780198465829,(The) willow pattern plot ,2.0,0.0,남성
9780198465836,(The) joke machine ,2.0,0.0,남성
9780198465843,Submarine adventure ,2.0,0.0,남성
9780198465898,(The) bully ,2.0,0.0,남성
9780198465973,(The) power cut ,2.0,0.0,남성
9780198466017,(A) sea mystery ,2.0,0.0,남성
9780198466024,(The) big breakfast ,2.0,0.0,남성
9780198466055,(The) kidnappers ,2.0,0.0,남성
9780198466086,(A) day in London ,2.0,0.0,남성
9780198466109,Victorian adventure ,2.0,0.0,남성
9780198466116,Viking adventure ,2.0,0.0,남성
9780198466123,Group / Guided Reading Notes,2.0,0.0,남성
9780198466246,[Oxford Reading Tree] Stage 8 and 9 Storybook Set + Audio CD Set (24 Books + 8 Audio CDs),2.0,0.0,남성
9780198466260,(The)Quest,2.0,0.0,남성
9780198466291,Survival Adventure,2.0,0.0,남성
9780198466352,Rescue!,2.0,0.0,남성
9780198466369,Dutch adventure,2.0,0.0,남성
9780198466376,(The)Finest in the land,2.0,0.0,남성
9780198466383,(The)Flying machine,2.0,0.0,남성
9780198482475,Oxford Reading Tree (Level 5: Stories: Castle Adventure),1.0,0.0,남성
9780198482918,Oxford Reading Tree: Level 6: More Stories A: the Go-Kart Race (Paperback),1.0,0.0,남성
9780198482987,Oxford Reading Tree: Level 6: More Stories B: the Stolen Crown Part 1 (Paperback),1.0,0.0,남성
9780198482994,Oxford Reading Tree: Level 6: More Stories B: the Stolen Crown Part 2 (Paperback),1.0,0.0,남성
9780198483281,Oxford Reading Tree: Level 7: More Stories B: a Sea Mystery (Paperback),1.0,0.0,남성
9780198483298,Oxford Reading Tree: Level 7: More Stories B: the Big Breakfast (Paperback),1.0,0.0,남성
9780198483878,Oxford Reading Tree: Level 2: Decode and Develop: the Odd Egg (Paperback),1.0,0.0,남성
9780199119172,Time Chronicles,2.0,0.0,남성
9780199119189,Time Chronicles,2.0,0.0,남성
9780205000869,"Agendas, alternatives, and public policies ",1.0,0.0,남성
9780241396636,Diary of a Wimpy Kid Book 14,1.0,0.0,남성
9780273750581,"Mastering Financial Calculations : A step-by-step guide to the mathematics of financial market instruments (Paperback, 3 ed)",1.0,0.0,남성
9780300197181,A Little History of the World (Illustrated Edition),0.0,3.0,여성
9780307118394,JUST MEAND MY DAD 35,1.0,0.0,남성
9780307119377,JUST ME AND MY PUPPY,1.0,0.0,남성
9780307119384,All by myself,1.0,0.0,남성
9780307119452,JUST ME AND MY BABYSITTER,1.0,0.0,남성
9780307262004,Dancing Dinos (Paperback),1.0,0.0,남성
9780307980441,Stallion by Starlight (Paperback),2.0,2.0,여성
9780307980489,"Hurry Up, Houdini! (Paperback)",0.0,1.0,여성
9780316126441,The Jolly Postman: Or Other People's Letters (Hardcover) - Or Other People's Letters,1.0,0.0,남성
9780316236539,"Go away, big green monster!",1.0,0.0,남성
9780316272629,Middle School: Escape to Australia (Hardcover),1.0,0.0,남성
9780316286121,"By the Great Horn Spoon (Paperback, Reprint)",1.0,0.0,남성
9780316513135,Dino Duckling (Hardcover),1.0,0.0,남성
9780316748919,The Cake That Mack Ate (Us),2.0,0.0,남성
9780374318031,Doctor de Soto (치과 의사 드소토 선생님),1.0,0.0,남성
9780375802690,The Ninth Nugget (Paperback),3.0,0.0,남성
9780375806117,Stage fright on a summer night ,0.0,2.0,여성
9780375806148,"Good morning, gorillas",0.0,2.0,여성
9780375806155,Thanksgiving on Thursday ,0.0,2.0,여성
9780375811241,The Berenstain Bears' Dollars and Sense (Paperback) - The Berenstain Bears #59,1.0,0.0,남성
9780375811258,The Berenstain Bears and the Excuse Note (Paperback) - The Berenstain Bears #52,1.0,0.0,남성
9780375811265,The Berenstain Bears' Funny Valentine (Paperback) - The Berenstain Bears #13,1.0,0.0,남성
9780375811296,The Berenstain Bears and the Papa's Day Surprise (Paperback) - The Berenstain Bears #28,1.0,0.0,남성
9780375811326,The Berenstain Bears and the Mama's Day Surprise (Paperback) - The Berenstain Bears #15,1.0,0.0,남성
9780375811333,The Berenstain Bears and the Real Easter Eggs (Paperback) - The Berenstain Bears #14,1.0,0.0,남성
9780375812309,Happy Alphabet!: A Phonics Reader (Paperback),1.0,0.0,남성
9780375813702,The Unwilling Umpire (Paperback),3.0,0.0,남성
9780375832413,Dancing Dinos Go to School (Paperback),1.0,0.0,남성
9780375867989,A Perfect Time for Pandas [With Sticker(s)] (Paperback),0.0,2.0,여성
9780375870248,Abraham Lincoln: A Nonfiction Companion to Magic Tree House Merlin Mission #19: Abe Lincoln at Last (Paperback),2.0,0.0,남성
9780375870279,Magic Tree House Fact Tracker #28 (Magic Tree House FACT TRACKER #28),2.0,0.0,남성
9780375927355,Summer of the sea serpent ,0.0,2.0,여성
9780385321426,Lily's crossing,1.0,0.0,남성
9780385906647,When you reach me ,0.0,2.0,여성
9780393346794,The Spark of Life: Electricity in the Human Body (Paperback),0.0,3.0,여성
9780394805665,The Berenstain Bears Get the Gimmies (Paperback) - The Berenstain Bears #42,1.0,0.0,남성
9780394826202,Swimmy,0.0,1.0,여성
9780394830131,The Berenstain Bears and the In-Crowd (Paperback) - The Berenstain Bears #45,1.0,0.0,남성
9780394830148,The Berenstain Bears and Too Much Vacation (Paperback) - The Berenstain Bears #12,1.0,0.0,남성
9780394837369,Berenstain Bears Go to School (Paperback) - The Berenstain Bears #49,1.0,0.0,남성
9780394848358,The Berenstain Bears Go to the Doctor (Paperback) - The Berenstain Bears #37,1.0,0.0,남성
9780394848365,The Berenstain Bears Visit the Dentist (Paperback) - The Berenstain Bears #38,1.0,0.0,남성
9780394848372,The Berenstain Bears and the Sitter (Paperback) - The Berenstain Bears #24,1.0,0.0,남성
9780394848389,The Berenstain Bears' Moving Day (Paperback) - The Berenstain Bears #25,1.0,0.0,남성
9780394851310,The Berenstain Bears Go to Camp (Paperback) - The Berenstain Bears #39,1.0,0.0,남성
9780394851327,The Berenstain Bears Get in a Fight (Paperback),1.0,0.0,남성
9780394854434,Berenstain Bears in the Dark (Paperback) - The Berenstain Bears #31,1.0,0.0,남성
9780394856391,The Berenstain Bears and the Messy Room (Paperback) - The Berenstain Bears #57,1.0,0.0,남성
9780394859170,The Berenstain Bears' Trouble with Money (Paperback) - The Berenstain Bears #58,1.0,0.0,남성
9780394865706,The Berenstain Bears and Too Much TV (Paperback) - The Berenstain Bears #11,1.0,0.0,남성
9780394868806,The Berenstain Bears Meet Santa Bear (Paperback) - The Berenstain Bears #18,1.0,0.0,남성
9780394868813,The Berenstain Bears and Mama's New Job (Paperback) - The Berenstain Bears #27,1.0,0.0,남성
9780394872179,The Berenstain Bears and Too Much Junk Food (Paperback) - The Berenstain Bears #8,1.0,0.0,남성
9780394873312,Berenstain Bears No Girls Allowed (Paperback) - The Berenstain Bears #44,1.0,0.0,남성
9780394873336,The Berenstain Bears Forget Their Manners (Paperback) - The Berenstain Bears #56,1.0,0.0,남성
9780394873350,The Berenstain Bears and the Week at Grandma's (Paperback) - The Berenstain Bears #29,1.0,0.0,남성
9780394873367,The Berenstain Bears and the Trouble at School (Paperback) - The Berenstain Bears #50,1.0,0.0,남성
9780394873374,The Berenstain Bears Get Stage Fright (Paperback) - The Berenstain Bears #41,1.0,0.0,남성
9780394873381,The Berenstain Bears Go Out for the Team (Paperback) - The Berenstain Bears #40,1.0,0.0,남성
9780394873398,The Berenstain Bears and the Trouble with Friends (Paperback) - The Berenstain Bears #43,1.0,0.0,남성
9780394873404,The Berenstain Bears and the Bad Habit (Paperback) - The Berenstain Bears #54,1.0,0.0,남성
9780394897486,The Berenstain Bears and the Double Dare (Paperback) - The Berenstain Bears #46,1.0,0.0,남성
9780399173295,Camp Tiger (Hardcover),1.0,0.0,남성
9780399250743,(The) way back home ,1.0,0.0,남성
9780439594172,Bubble trouble ,1.0,0.0,남성
9780439921855,Yo! Yes? (Paperback) - Caldecott,0.0,3.0,여성
9780439944588,Violent Volcanoes (Paperback),1.0,0.0,남성
9780440228592,Holes (Mass Market Paperback),1.0,0.0,남성
9780440420927,"Soupy Saturdays with the Pain & the Great One (Paperback, Yearling)",0.0,2.0,여성
9780440867593,Double Act (Paperback),0.0,2.0,여성
9780448418636,The Voyages of Doctor Dolittle (Hardcover),0.0,2.0,여성
9780525552918,If I Built a School (Hardcover),1.0,0.0,남성
9780525577836,Glow Wild! (Wild Kratts) (Paperback),1.0,0.0,남성
9780545028165,Katie the Kitten Fairy (Paperback) - The Pet Fairies No.1,1.0,0.0,남성
9780545041850,Bella the Bunny Fairy (Paperback) - The Pet Fairies No.2,1.0,0.0,남성
9780545041881,Harriet the Hamster Fairy (Paperback),1.0,0.0,남성
9780545041898,Molly the Goldfish Fairy (Paperback),1.0,0.0,남성
9780545138499,"I Miss You, Stinky Face [With Paperback Book] (Audio CD)",0.0,2.0,여성
9780545468060,The Tooth Fairy (Peppa Pig) (Paperback),1.0,0.0,남성
9780545524025,Class Trip (Peppa Pig) (Paperback),1.0,0.0,남성
9780545581608,Dog Man ( Dog Man #01 ) (Hardcover),0.0,2.0,여성
9780545656047,The Search for the Treasure (Hardcover),1.0,0.0,남성
9780545791427,"Harry Potter and the Goblet of Fire: The Illustrated Edition, Volume 4 (Hardcover)",1.0,0.0,남성
9780552546683,My Dad (Paperback ),0.0,2.0,여성
9780679824244,Mummies in the morning,2.0,0.0,남성
9780679824251,Pirates past noon,2.0,0.0,남성
9780679826422,Junie B. Jones #1: Junie B. Jones and the Stupid Smelly Bus (Paperback),0.0,2.0,여성
9780679838869,Junie B. Jones and a little monkey business ,0.0,2.0,여성
9780679844075,Junie B. Jones and her big fat mouth ,0.0,2.0,여성
9780679863724,Afternoon on the Amazon,2.0,0.0,남성
9780679863731,Sunset of the Sabertooth,2.0,0.0,남성
9780679883395,Ghost town at sundown,2.0,0.0,남성
9780679890515,Day of the dragon king,2.0,0.0,남성
9780679890669,Dingoes at Dinnertime (Paperback),2.0,0.0,남성
9780688104801,"Ten, nine, eight",2.0,0.0,남성
9780689808388,Henry and Mudge and the Wild Wind (Paperback) - Ready-To-Read Level 2,0.0,3.0,여성
9780689808869,Henry and Mudge Take the Big Test (Paperback) - Ready-To-Read Level 2,2.0,5.0,여성
9780689810176,Their Adventures,0.0,3.0,여성
9780689813856,Henry and Mudge and the Best Day of All: Ready to Read Level 2 (Paperback),0.0,3.0,여성
9780689832840,Their Adventures,0.0,3.0,여성
9780689834455,"Henry and Mudge and the Tall Tree House (Paperback, Reprint)",0.0,3.0,여성
9780689834516,Henry and Mudge and the Big Sleepover (Paperback),0.0,4.0,여성
9780689869143,The First Day of School (Paperback) - Ready to Read Level 1,2.0,0.0,남성
9780689877155,"Click, Clack, Quackity-Quack (Hardcover)",2.0,0.0,남성
9780698116498,"Good Night, Gorilla (Paperback)",2.0,0.0,남성
9780711207776,Animal Parade (Wildlife Alphabet),2.0,0.0,남성
9780713654707,Sausage and the Spooks (Paperback),0.0,3.0,여성
9780713654745,School for Sausage (Paperback),0.0,3.0,여성
9780749724054,The Great Big Enormous Turnips,0.0,2.0,여성
9780753400128,I Wonder Why : The Sun Rises and Other Questions about Time and Seasons (Paperback),2.0,0.0,남성
9780753410981,Pine Trees Have Needles,2.0,0.0,남성
9780761157281,Beautiful Oops! (Hardcover),0.0,2.0,여성
9780763645045,Mercy Watson to the Rescue (Paperback) - Mercy Watson #01,0.0,4.0,여성
9780763645052,Mercy Watson Goes for a Ride (Paperback) - Mercy Watson #02,0.0,4.0,여성
9780763649517,Mercy Watson: Princess in Disguise (Mercy Watson #04),0.0,4.0,여성
9780803736702,Three times lucky ,0.0,2.0,여성
9780859539357,Five Little Ducks (Paperback),0.0,2.0,여성
9781338239843,Super Rabbit All-Stars! (Paperback),2.0,0.0,남성
9781338305814,The Bad Guys in the Big Bad Wolf (the Bad Guys #9) (Paperback),2.0,0.0,남성
9781405230452,"The Magic Sky (Paperback, Compact Disc) - 베스트셀링 오디오 영어동화",2.0,0.0,남성
9781406310764,Washing Line (Paperback),2.0,0.0,남성
9781406316766,What Do I Look Like? : Flip the Flap (Paperback),0.0,2.0,여성
9781406349559,Guess how much I love you,0.0,4.0,여성
9781406359220,Za-za's Baby Brother (Storybook & DVD),0.0,2.0,여성
9781406372205,Maisy Goes to London (Paperback),0.0,3.0,여성
9781407189468,Moo-Cow Kung-Fu-Cow (Board Book),0.0,3.0,여성
9781419727436,The Meltdown (Hardcover),0.0,2.0,여성
9781423107965,Chopsticks ,0.0,3.0,여성
9781442402973,Creepy carrots! ,2.0,0.0,남성
9781442485211,Bunnicula in a Box (Boxed Set),0.0,2.0,여성
9781474845120,(Marvel) Spiderman:book and CD,0.0,4.0,여성
9781534402393,"Shark School Shark-Tacular Collection Books 1-8: Deep-Sea Disaster; Lights! Camera! Hammerhead!; Squid-Napped!; The Boy Who Cried Shark; A Fin-Tastic (Paperback, Boxed Set)",4.0,0.0,남성
9781582460581,Don't Laugh at Me [With CD] (Hardcover),2.0,0.0,남성
9781616694005,Advanced Cardiovascular Life Support (ACLS) Provider Manual (Paperback),0.0,2.0,여성
9781626723719,"Big cat, little cat ",3.0,0.0,남성
9781627799331,This Book Is Out of Control! (Hardcover),3.0,0.0,남성
9781782952855,Daisy and the Trouble With Sports Days,0.0,1.0,여성
9781782952862,Daisy and the trouble with piggy banks ,0.0,1.0,여성
9781782956082,Daisy and the Trouble with Vampires (Paperback),0.0,1.0,여성
9781841481654,Cleo's Alphabet Book (Paperback),0.0,2.0,여성
9781845062392,The Very Noisy Night (Package),0.0,2.0,여성
9781846430459,"Don't You Dare, Dragon! (Hardcover)",2.0,0.0,남성
9781846431074,One Elephant Went Out to Play (Paperback / New Edition) (Classic Books With Holes),0.0,2.0,여성
9781846431081,Dry Bones (Paperback),0.0,2.0,여성
9781847150714,Bogeys! (Paperback),0.0,2.0,여성
9781849416818,Daisy and the Trouble with Burglars (Paperback),0.0,1.0,여성
9781856971010,I Wonder Why Camels Have Humps and Other Questions about Animals (Paperback),2.0,0.0,남성
9781856972284,I Wonder Why : Soap Makes Bubbles and Other Questions about Science (Paperback),2.0,0.0,남성
9781856973113,I Wonder Why : Spiders Spin Webs and Other Questions about Creepy Crawlies (Paperback),2.0,0.0,남성
9781856973120,I Wonder Why : Pyramids Were Built and Other Questions about Ancient Egypt (Paperback),2.0,0.0,남성
9781862304932,Daisy and the trouble with zoos ,0.0,1.0,여성
9781862305939,Dogger (Paperback),2.0,0.0,남성
9781904550327,Down in the Jungle (Paperback),0.0,2.0,여성
9781904550358,Twenty-four robbers,0.0,2.0,여성
9781905236664,"A Dragon on the Doorstep (Paperback, Compact Disc) - 노래부르는 영어동화",3.0,0.0,남성
9781934706831,The Big Bigger Biggest Book (Paperback),2.0,0.0,남성
9781942558507,Kids' Classic Readers Level 5-7 : The Sword in the Stone,2.0,0.0,남성
9781946452108,The Making of a United Europe (PB+CD) (StoryBook+Audio CD),0.0,3.0,여성
9788901024622,엄마 없는 날:이원수 단편동화,0.0,2.0,여성
9788901033518,돼지책,0.0,5.0,여성
9788901034379,까만 나라 노란 추장,0.0,3.0,여성
9788901038964,우리 누나,2.0,0.0,남성
9788901041278,윌리와 악당 벌렁코,2.0,0.0,남성
9788901054889,경제학 콘서트,3.0,0.0,남성
9788901055190,"선생님, 바보 의사 선생님",0.0,2.6666666666666665,여성
9788901060316,도서관에 간 사자,2.0,3.0,여성
9788901068763,(국어 교과서도 탐내는) 맛있는 속담,5.0,4.0,남성
9788901072203,베토벤 :운명을 뛰어넘은 불멸의 음악가 ,0.0,3.0,여성
9788901072395,이윤기의 그리스 로마 신화 1 - 신화를 이해하는 12가지 열쇠,3.0,0.0,남성
9788901082356,전교 네 명 머시기가 간다 ,3.0,0.0,남성
9788901091976,일러스트레이터 CS4 :기본+활용 지대로 배우기 ,0.0,2.0,여성
9788901093147,빵이 빵 터질까? ,3.0,0.0,남성
9788901093154,넛지 :똑똑한 선택을 이끄는 힘 ,0.0,4.0,여성
9788901101514,워너비 윈투어 :스타일리시한 포스를 만드는 39가지 자기경영법 ,0.0,2.0,여성
9788901105918,니 꿈은 뭐이가? :비행사 권기옥 이야기 ,0.0,1.5,여성
9788901109237,온 세상 국기가 펄럭펄럭 ,0.0,2.0,여성
9788901110509,밥상에 우리말이 가득하네 ,0.0,2.0,여성
9788901112473,빨간 양털 조끼의 세계 여행 :우리 앞에 펼쳐진 세계화의 진실 ,0.0,2.0,여성
9788901114316,달라도 친구 ,1.0,2.0,여성
9788901114651,현명한 부모가 꼭 알아야할 대화법 ,0.0,2.0,여성
9788901117294,불국사 :신라 사람들의 꿈 ,0.0,2.0,여성
9788901121345,가족은 꼬옥 안아 주는 거야 ,0.0,2.0,여성
9788901121390,기분을 말해 봐! ,0.0,2.0,여성
9788901121468,(신의진의) 아이심리백과,0.0,3.0,여성
9788901122748,살랑살랑 꼬리로 말해요 ,3.0,3.0,여성
9788901136288,지구 마을 친구들에게 천 원이 있다면? ,2.0,0.0,남성
9788901153964,(한다리 건네엔 흔하디흔한) 아는 사람 이야기 ,3.0,3.0,여성
9788901155135,"어떡하지, 난 꿈이 없는데 ",2.0,0.0,남성
9788901157368,산왕 부루,0.0,3.0,여성
9788901157375,산왕 부루,0.0,2.5,여성
9788901158594,딸에게 보내는 심리학 편지 :30년 동안 미처 하지 못했던 그러나 꼭 해 주고 싶은 이야기들 ,2.0,0.0,남성
9788901161235,홍길동전 ,0.0,2.0,여성
9788901162263,1984 ,2.0,0.0,남성
9788901165264,(오은영의 마음처방전) 감정 :불안한 아이를 위한 감정처방전 ,0.0,2.0,여성
9788901166421,머나먼 여행 ,0.0,3.0,여성
9788901166704,(세계사를 바꾼 향신료의 왕) 후추 ,3.0,0.0,남성
9788901206110,윌리와 구름 한 조각 ,0.0,2.0,여성
9788901208312,비밀의 문,2.0,1.0,남성
9788901214412,삼국유사 : 이야기 편,0.0,4.0,여성
9788901214535,카카와 뭉이,0.0,2.0,여성
9788901216058,누가 상상이나 할까요?,0.0,2.0,여성
9788901216966,고양이 손을 빌려 드립니다 ,0.0,3.0,여성
9788901217000,채소 학교와 파란 머리 토마토,3.0,0.0,남성
9788901217543,블랙 SF : 우주 전쟁,2.0,0.0,남성
9788901218762,나를 사랑하지 못하는 나에게 :있는 그대로의 나를 인정하기 위한 자존감 훈련 ,0.0,2.0,여성
9788901219943,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,3.0,3.0,여성
9788901222219,어느 그림자 이야기 -  외전,0.0,1.0,여성
9788901222844,콧물 몬스터 구질라 5 - 딱딱 분화구를 점령하라!,3.0,0.0,남성
9788901222851,콧물 몬스터 구질라 6 - 지저분한 운동회에서 승리하라!,4.0,0.0,남성
9788901223018,누에콩의 어느 봄날 ,0.0,3.0,여성
9788901223032,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,0.0,3.0,여성
9788901225081,세상에서 가장 발칙한 성공법칙 :나만의 방식으로 기회를 만든 사람들 ,3.0,0.0,남성
9788901226668,엄마를 구해 줘,3.0,2.5,남성
9788901227511,당신이 남긴 증오 ,3.0,0.0,남성
9788901227542,넛지 - 똑똑한 선택을 이끄는 힘,0.0,1.5,여성
9788901228761,10대의 뇌 :인간의 뇌는 어떻게 성장하는가 ,3.0,0.0,남성
9788901229614,초예측 :세계 석학 8인에게 인류의 미래를 묻다 ,3.0,0.0,남성
9788901229843,채소 학교와 더벅머리 옥수수,3.0,0.0,남성
9788901230658,시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 ,0.0,3.0,여성
9788901230801,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,0.0,1.0,여성
9788901230931,도토리 마을의 1년,0.0,2.0,여성
9788901231105,토토 : 오즈의 마법사와 끝없는 모험 이야기,2.0,0.0,남성
9788901231136,"나쁜 감정을 삶의 무기로 바꾸는 기술 :불안, 분노, 질투 같은 숨기고 싶은 감정을 경쟁력으로 만드는 46가지 심리술 ",3.0,0.0,남성
9788901232232,팥빙수의 전설,5.0,0.0,남성
9788901232867,청소부 매뉴얼 :루시아 벌린 단편집 ,2.0,0.0,남성
9788901232973,짝짝이 양말,2.0,0.0,남성
9788901234502,(책 읽기가 만만해지는) 이과식 독서법 :필요한 만큼 읽고 원하는 결과를 내는 힘 ,0.0,2.0,여성
9788901235714,사기병 :인생은 마음대로 안됐지만 투병은 내 맘대로 ,0.0,3.0,여성
9788901237237,하버드 부모들은 어떻게 키웠을까 :명문대 학생들의 성장 과정을 추적 조사한 하버드 프로젝트가 밝힌 성공의 8가지 공식 ,1.0,5.0,여성
9788901237794,그게몬데 지식 탐험대: 우리 생활사,0.0,2.0,여성
9788901237855,문학이 온다 : 성장 편,0.0,2.0,여성
9788901237893,문학이 온다 : 자존감 편,0.0,2.0,여성
